card,tcg,ck_price,mp_price,ck_pct,mp_pct,units,origin,ck_cal,ck_cal_pct,band,mp_market,productId,has_direct,cheap_ship,direct_price,cheap_price,cheap_seller,mp_head
"Captain Marvel, Earth's Protector",0.75,1.49,0.38,98.66666666666669,-49.333333333333336,1609.0,live,1.341,70.05866666666665,$0-1,0.48,696256,True,1.49,0.69,0.69,,0.48
"Uthros, Titanic Godcore",12.32,18.99,11.31,54.13961038961037,-8.198051948051946,1084.0,live,17.090999999999998,31.94350649350649,$10-20,11.36,641748,True,0.0,9.0,10.48,,11.36
Informed Inkwright,0.29,0.49,0.15,68.96551724137932,-48.27586206896552,1705.0,live,0.441,44.63448275862069,$0-1,0.19,689047,True,1.49,0.09,0.09,,0.19
Aetherize,0.44,0.99,0.25,125.0,-43.18181818181818,1574.0,live,0.891,92.6,$0-1,0.3,591162,True,1.49,0.24,0.24,,0.3
For the Common Good,3.45,4.49,2.08,30.144927536231886,-39.71014492753624,1179.0,live,4.041,11.404057971014494,$2-5,3.06,559118,True,1.49,0.9,0.9,,3.06
Seething Song,13.55,12.99,8.120000000000001,-4.132841328413288,-40.07380073800738,1162.0,live,11.691,-17.93771217712178,$10-20,5.12,11423,True,0.0,6.61,7.99,,5.12
Village Rites,0.38,1.29,0.2,239.4736842105264,-47.368421052631575,1589.0,live,1.161,190.58947368421056,$0-1,0.35,230172,True,1.49,0.25,0.25,,0.35
Doubling Season (Borderless),30.24,34.99,30.34,15.70767195767197,0.3306878306878354,1060.0,live,31.491000000000003,-0.9542328042327938,$20-50,,657764,True,1.3,25.0,26.99,,30.34
Absorbing Man,0.27,0.49,0.15,81.48148148148147,-44.44444444444445,1922.0,live,0.441,55.34814814814813,$0-1,0.2,696573,True,1.49,0.12,0.12,,0.2
Gift of Immortality,0.4,0.69,0.17,72.49999999999997,-57.49999999999999,1622.0,live,0.621,47.65999999999998,$0-1,0.48,687418,True,1.49,0.31,0.31,,0.48
Professional Face-Breaker,5.07,7.99,5.19,57.59368836291912,2.3668639053254457,1112.0,live,7.191000000000001,34.90019723865876,$5-10,5.39,631136,True,0.0,4.32,5.03,,5.39
Overprotect,0.86,2.79,0.29,224.41860465116284,-66.27906976744187,1317.0,live,2.511,177.70232558139537,$0-1,,559120,True,1.49,0.42,0.42,,0.29
Null Elemental Blast,0.36,0.69,0.15,91.66666666666666,-58.333333333333336,1581.0,live,0.621,64.06666666666666,$0-1,0.25,548593,True,1.49,0.25,0.25,,0.25
Mightform Harmonizer,1.45,2.79,1.14,92.41379310344828,-21.37931034482759,1440.0,live,2.511,64.70620689655175,$1-2,1.62,643504,True,1.49,1.249,1.249,,1.62
Not Dead After All,1.45,2.49,1.0,71.7241379310345,-31.034482758620683,1173.0,live,2.241,46.99586206896552,$1-2,1.49,512642,True,1.49,0.98,0.98,,1.49
Reckless Ransacking,0.28,0.35,0.15,24.999999999999982,-46.42857142857144,1251.0,live,0.315,6.999999999999981,$0-1,0.15,671946,True,1.49,0.05,0.05,,0.15
Reprieve,1.59,2.99,0.94,88.0503144654088,-40.88050314465409,1149.0,live,2.6910000000000003,60.971069182389925,$1-2,1.36,686566,True,1.49,1.09,1.09,,1.36
Scour for Scrap,0.37,0.99,0.15,167.56756756756758,-59.45945945945946,1203.0,live,0.891,129.03783783783786,$0-1,0.35,644587,True,1.49,0.29,0.29,,0.35
Forest (0291),0.28,0.79,0.15,182.1428571428572,-46.42857142857144,3589.0,live,0.7110000000000001,141.5142857142857,$0-1,,648729,True,1.49,0.1,0.1,,0.15
Vampiric Tutor,56.05,59.99,57.31,7.02943800178413,2.247992863514728,1027.0,live,53.991,-8.382801070472782,$50-100,54.35,686552,True,0.0,49.51,50.0,,54.35
Three Visits,4.53,7.49,4.61,65.34216335540839,1.766004415011039,1124.0,live,6.7410000000000005,41.532891832229566,$2-5,4.94,687584,True,0.0,3.99,5.24,,4.94
Timeless Lotus,2.53,4.99,1.82,97.2332015810277,-28.06324110671936,1680.0,live,4.4910000000000005,68.83162055335971,$2-5,2.03,671294,True,1.49,2.09,2.09,,2.03
Command Tower,0.36,0.69,0.2,91.66666666666666,-44.44444444444444,1731.0,live,0.621,64.06666666666666,$0-1,0.24,687664,True,1.49,0.3,0.3,,0.24
Dark Fortress (Borderless),3.56,4.49,3.38,26.12359550561798,-5.056179775280904,1313.0,live,4.041,7.961797752808993,$2-5,,696439,True,1.49,2.48,2.48,,3.38
"Cloak and Dagger, Entwined",0.33,0.49,0.15,48.48484848484848,-54.54545454545456,1747.0,live,0.441,27.10303030303029,$0-1,0.2,696859,True,1.49,0.16,0.16,,0.2
Lightning Greaves,4.51,5.99,4.16,32.81596452328161,-7.760532150776046,1199.0,live,5.391,13.690465631929053,$2-5,3.86,687611,True,1.49,4.13,4.13,,3.86
Archmage Emeritus,0.57,1.79,0.41,214.0350877192983,-28.07017543859649,1810.0,live,1.611,168.81403508771933,$0-1,0.47,687389,True,1.49,0.48,0.48,,0.47
Force of Will,63.41,69.99,63.03,10.37691215896546,-0.5992745623718585,1072.0,live,62.991,-5.517363191925571,$50-100,62.8,686637,True,1.49,56.4,56.4,,62.8
Eiganjo Dynastorian,1.28,1.49,0.76,16.406249999999996,-40.625,1333.0,live,1.341,-0.3562500000000093,$1-2,,686539,True,1.49,1.15,1.15,,0.76
"Spider-Man, To the Rescue (Borderless)",0.25,0.35,0.15,39.99999999999999,-40.0,1305.0,live,0.315,19.83999999999999,$0-1,,696886,True,1.49,0.07,0.07,,0.15
Archdruid's Charm,6.72,9.49,6.25,41.2202380952381,-6.994047619047615,1215.0,live,8.541,20.88452380952382,$5-10,,534080,True,0.0,5.0,6.25,,6.25
Radiant Summit,0.73,0.69,0.66,-5.479452054794526,-9.589041095890405,1619.0,live,0.621,-19.09041095890412,$0-1,0.78,687479,True,1.49,0.54,0.54,,0.78
Zulaport Cutthroat,1.09,2.29,0.96,110.09174311926604,-11.926605504587169,1534.0,live,2.061,79.83853211009173,$1-2,0.98,687519,True,1.49,0.96,1.08,,0.98
Armageddon,10.0,6.99,6.8500000000000005,-30.1,-31.5,1053.0,live,6.291,-40.1656,$10-20,6.65,688842,True,0.0,7.0,8.77,,6.65
Arcane Signet,0.66,0.99,0.43,49.99999999999999,-34.84848484848485,2000.0,live,0.891,28.39999999999999,$0-1,0.43,687531,True,1.49,0.47,0.47,,0.43
Twilight Diviner,2.05,3.49,1.62,70.24390243902442,-20.975609756097548,1129.0,live,3.1410000000000005,45.7287804878049,$2-5,,671768,True,1.49,1.2,1.2,,1.62
Brotherhood's End,1.16,2.29,0.28,97.41379310344828,-75.86206896551724,1204.0,live,2.061,68.98620689655174,$1-2,0.99,688849,True,1.49,0.75,0.75,,0.99
Twitching Doll,2.59,1.99,1.86,-23.16602316602316,-28.18532818532817,1095.0,live,1.791,-34.23011583011583,$2-5,2.32,575282,True,1.49,0.74,1.72,,2.32
Unnatural Restoration,1.18,1.99,0.8300000000000001,68.64406779661017,-29.66101694915253,1263.0,live,1.791,44.35932203389832,$1-2,1.21,478687,True,1.49,0.84,0.84,,1.21
"Toph, the First Metalbender",1.55,0.99,0.46,-36.12903225806452,-70.3225806451613,1181.0,live,0.891,-45.32645161290323,$1-2,0.95,648738,True,1.49,0.97,0.97,,0.95
Ravenous Robots,1.73,2.49,0.98,43.9306358381503,-43.35260115606936,1362.0,live,2.241,23.20462427745665,$1-2,1.62,673644,True,1.49,1.09,1.09,,1.62
Battle Hymn,1.36,1.79,1.25,31.61764705882352,-8.088235294117654,1342.0,live,1.611,12.664705882352935,$1-2,1.59,58931,False,1.49,,1.17,632225,1.59
Highway Robbery,0.37,1.79,0.15,383.78378378378375,-59.45945945945946,3063.0,live,1.611,314.118918918919,$0-1,0.35,544664,True,1.49,0.27,0.27,,0.35
Command Tower,0.34,0.69,0.21,102.9411764705882,-38.235294117647065,2183.0,live,0.621,73.7176470588235,$0-1,0.24,687664,True,1.49,0.3,0.3,,0.24
"Elektra, Daughter of the Hand",0.3,0.49,0.15,63.33333333333334,-50.0,1555.0,live,0.441,39.81333333333333,$0-1,0.2,696237,True,1.49,0.14,0.14,,0.2
Emperor of Bones,1.57,2.99,0.76,90.44585987261146,-51.59235668789809,1872.0,live,2.6910000000000003,63.0216560509554,$1-2,,552630,True,1.49,0.5,0.5,,0.76
Forest (0306),0.33,1.29,0.15,290.9090909090909,-54.54545454545456,3283.0,live,1.161,234.61818181818185,$0-1,,630899,True,1.49,0.16,0.16,,0.15
"Hawkeye, Master Marksman (Borderless)",1.2,0.79,0.45,-34.166666666666664,-62.5,1125.0,live,0.7110000000000001,-43.64666666666666,$1-2,,696567,True,1.49,0.49,0.49,,0.45
Preposterous Proportions,1.67,2.29,0.46,37.12574850299402,-72.45508982035929,1240.0,live,2.061,17.37964071856288,$1-2,0.45,591191,True,1.49,0.83,0.83,,0.45
Chromatic Lantern,1.06,2.49,0.78,134.9056603773585,-26.41509433962264,1620.0,live,2.241,101.07924528301886,$1-2,0.75,615167,True,1.49,0.85,0.85,,0.75
Exalted Sunborn,14.51,20.99,12.5,44.65885596140592,-13.852515506547208,1128.0,live,18.891,23.82798070296348,$10-20,12.27,641725,True,0.99,12.06,12.4,,12.27
Garruk's Uprising,1.06,1.49,0.41,40.56603773584905,-61.32075471698114,1172.0,live,1.341,20.324528301886776,$1-2,0.42,591806,True,1.49,0.3,0.3,,0.42
Frenzied Baloth,1.27,2.49,1.0,96.06299212598428,-21.25984251968504,1423.0,live,2.241,67.82992125984252,$1-2,1.21,641790,True,1.49,0.62,0.62,,1.21
Gathering Place (Borderless),2.97,4.49,1.97,51.178451178451176,-33.670033670033675,1298.0,live,4.041,29.408754208754207,$2-5,,696444,True,1.49,2.37,2.37,,1.97
Champions from Beyond,4.49,4.99,2.96,11.135857461024498,-34.07572383073497,2052.0,live,4.4910000000000005,-4.867706013363031,$2-5,3.14,631097,True,1.49,3.25,3.75,,3.14
Cauldron of Essence (Extended Art),4.0,4.49,3.64,12.250000000000004,-8.999999999999996,1057.0,live,4.041,-3.9139999999999953,$2-5,,689541,True,1.49,2.4,3.65,,3.64
Ripples of Potential,2.77,4.99,3.0700000000000003,80.14440433212997,10.830324909747302,1540.0,live,4.4910000000000005,54.20361010830326,$2-5,2.89,642806,True,1.49,2.0,2.54,,2.89
Mind Stone,0.31,0.79,0.25,154.83870967741936,-19.35483870967742,1626.0,live,0.7110000000000001,118.141935483871,$0-1,0.37,463303,True,1.49,0.25,0.25,,0.37
Hellkite Tyrant,1.89,2.99,1.35,58.20105820105822,-28.57142857142857,1241.0,live,2.6910000000000003,35.420105820105825,$1-2,,631132,True,1.49,1.69,1.69,,1.35
Phyrexian Metamorph,2.46,3.99,2.42,62.19512195121952,-1.6260162601626031,1419.0,live,3.591,38.83902439024392,$2-5,2.47,642804,True,1.49,1.81,2.29,,2.47
Akroma's Will,17.13,20.99,15.89,22.533566841798013,-7.238762405137178,1011.0,live,18.891,4.888733216579106,$10-20,15.24,688836,True,0.0,14.24,16.0,,15.24
Lively Dirge,2.2,3.49,1.74,58.63636363636363,-20.90909090909092,1547.0,live,3.1410000000000005,35.79272727272728,$2-5,1.86,544422,True,1.49,1.75,1.75,,1.86
Rapid Hybridization,1.16,1.99,0.58,71.55172413793105,-50.0,1845.0,live,1.791,46.84827586206898,$1-2,,687432,True,1.49,0.72,0.9,,0.58
Weapons Manufacturing,1.65,3.49,1.03,111.51515151515154,-37.57575757575757,1623.0,live,3.1410000000000005,81.05696969696973,$1-2,1.5,641778,True,1.49,0.99,0.99,,1.5
Loran's Escape,2.18,3.49,2.34,60.09174311926605,7.339449541284389,1628.0,live,3.1410000000000005,37.03853211009175,$2-5,2.25,453207,True,1.49,0.96,0.96,,2.25
Training Compound (Borderless),3.08,4.99,2.29,62.01298701298702,-25.649350649350648,1290.0,live,4.4910000000000005,38.68311688311689,$2-5,,696443,True,1.49,2.44,2.44,,2.29
Tyvar's Stand,1.11,1.79,0.41,61.26126126126125,-63.06306306306308,1146.0,live,1.611,38.03963963963963,$1-2,1.26,687589,True,1.49,0.65,0.7,,1.26
Bushwhack,0.3,0.59,0.15,96.66666666666669,-50.0,1527.0,live,0.531,68.34666666666665,$0-1,0.3,591758,True,1.49,0.09,0.09,,0.3
Sabotender,0.3,0.35,0.15,16.666666666666664,-50.0,1344.0,live,0.315,-0.1333333333333371,$0-1,0.2,634130,True,1.49,0.1,0.1,,0.2
"Wan Shi Tong, Librarian",36.45,59.99,36.44,64.58161865569272,-0.027434842249671,1104.0,live,53.991,40.881865569272975,$20-50,34.99,660516,True,0.0,33.95,33.95,,34.99
Tifa Lockhart,2.81,2.79,1.54,-0.7117437722419936,-45.19572953736655,1217.0,live,2.511,-15.009252669039142,$2-5,1.89,630927,True,1.49,0.9,1.25,,1.89
Flare of Denial,3.4,5.49,2.9,61.47058823529413,-14.705882352941178,1382.0,live,4.941000000000001,38.21882352941177,$2-5,3.45,548596,True,1.49,2.0,3.35,,3.45
Ophiomancer,0.86,2.29,0.52,166.27906976744188,-39.53488372093023,1494.0,live,2.061,127.93488372093024,$0-1,0.58,687362,True,1.49,0.84,0.84,,0.58
Eddymurk Crab,1.11,1.79,0.46,61.26126126126125,-58.55855855855856,1862.0,live,1.611,38.03963963963963,$1-2,1.01,559642,True,1.49,0.15,0.15,,1.01
Insidious Roots,1.29,2.79,0.84,116.27906976744188,-34.88372093023256,1299.0,live,2.511,85.13488372093025,$1-2,1.2,535300,True,1.49,1.17,1.17,,1.2
Wizard Class,2.86,4.99,1.7,74.4755244755245,-40.55944055944056,1122.0,live,4.4910000000000005,49.35104895104896,$2-5,,243349,True,1.49,2.25,2.25,,1.7
Mockingbird,3.48,4.99,2.82,43.39080459770116,-18.96551724137932,1157.0,live,4.4910000000000005,22.742528735632188,$2-5,3.31,559141,True,1.49,1.93,2.88,,3.31
"General Kreat, the Boltbringer (Anime)",5.76,9.99,5.17,73.43750000000001,-10.243055555555554,1230.0,live,8.991,48.4625,$5-10,,589385,True,0.0,3.99,5.62,,5.17
Stubborn Denial,3.74,6.49,3.23,73.52941176470587,-13.63636363636364,1306.0,live,5.841,48.54117647058823,$2-5,,93033,True,1.49,2.37,2.37,,3.23
"Winter Soldier, Icy Assassin (Borderless)",1.08,0.99,0.15,-8.33333333333334,-86.1111111111111,1063.0,live,0.891,-21.533333333333346,$1-2,,696579,True,1.49,0.65,0.65,,0.15
Caves of Koilos,0.55,1.79,0.52,225.45454545454544,-5.45454545454546,1578.0,live,1.611,178.58909090909088,$0-1,0.55,687671,True,1.49,0.55,0.55,,0.55
Starfield Shepherd,0.36,0.59,0.15,63.888888888888886,-58.333333333333336,1935.0,live,0.531,40.28888888888888,$0-1,0.3,641739,True,1.49,0.25,0.25,,0.3
Impact Tremors,2.93,4.99,2.34,70.30716723549489,-20.136518771331065,1179.0,live,4.4910000000000005,45.782935153583615,$2-5,2.8,512663,True,1.49,2.34,2.34,,2.8
"Leader, Super-Genius (Borderless)",1.22,1.29,0.26,5.737704918032792,-78.68852459016394,1049.0,live,1.161,-9.488524590163925,$1-2,,696283,True,1.49,0.99,0.99,,0.26
"Dionus, Elvish Archdruid (Anime)",9.01,13.99,7.91,55.27192008879024,-12.208657047724747,1232.0,live,12.591000000000001,32.91276359600445,$5-10,,590235,True,3.99,7.56,11.93,,7.91
Jeska's Will,45.81,54.99,44.26,20.039292730844792,-3.383540711635024,987.0,live,49.491,2.753634577603144,$20-50,43.16,689151,True,0.99,42.85,43.0,,43.16
Skateboard,0.29,0.35,0.15,20.6896551724138,-48.27586206896552,1618.0,live,0.315,3.3103448275862064,$0-1,0.3,679869,True,1.49,0.25,0.25,,0.3
"Cloud, Midgar Mercenary",21.62,24.99,19.78,15.58741905642922,-8.510638297872338,1033.0,live,22.491,-1.0571692876965848,$20-50,21.02,630870,True,4.99,14.99,14.99,,21.02
Animist's Awakening,0.39,0.49,0.15,25.64102564102563,-61.53846153846154,1530.0,live,0.441,7.54871794871794,$0-1,0.33,687470,True,1.49,0.28,0.28,,0.33
Painful Quandary,1.76,1.99,0.61,13.068181818181818,-65.34090909090908,1214.0,live,1.791,-3.2136363636363603,$1-2,0.81,590846,True,1.49,1.2,1.2,,0.81
"Loot, Exuberant Explorer",3.13,4.99,2.02,59.424920127795545,-35.46325878594249,1069.0,live,4.4910000000000005,36.46773162939298,$2-5,2.52,591833,True,1.49,1.99,1.99,,2.52
Changing Loyalty,0.68,0.59,0.15,-13.23529411764707,-77.94117647058823,1373.0,live,0.531,-25.72941176470589,$0-1,0.2,687336,True,1.49,0.63,0.63,,0.2
Canopy Vista,0.34,0.49,0.16,44.11764705882352,-52.94117647058824,1338.0,live,0.441,23.36470588235293,$0-1,0.24,631255,True,1.49,0.18,0.18,,0.24
Withering Torment,2.75,3.49,2.07,26.90909090909092,-24.727272727272734,1079.0,live,3.1410000000000005,8.63418181818183,$2-5,,578058,True,1.49,1.15,1.15,,2.07
"Emil, Vastlands Roamer",0.25,0.35,0.15,39.99999999999999,-40.0,1248.0,live,0.315,19.83999999999999,$0-1,0.15,689505,True,1.49,0.05,0.05,,0.15
Cycle of Renewal,0.3,0.35,0.15,16.666666666666664,-50.0,1467.0,live,0.315,-0.1333333333333371,$0-1,0.15,660572,True,1.49,0.1,0.1,,0.15
Spymaster's Vault,1.2,2.29,0.78,90.83333333333334,-35.0,1288.0,live,2.061,63.35333333333334,$1-2,1.08,552624,True,1.49,0.6,0.6,,1.08
Norman Osborn (Borderless),23.69,22.99,18.38,-2.954833262980172,-22.41452089489237,1040.0,live,20.691,-16.929337273111024,$20-50,,651338,True,0.99,18.86,21.94,,18.38
Island (0298),0.24,0.69,0.15,187.5,-37.5,3491.0,live,0.621,146.1,$0-1,,630885,True,1.49,0.17,0.17,,0.15
Tocasia's Welcome,0.59,1.29,0.46,118.6440677966102,-22.033898305084737,1775.0,live,1.161,87.15932203389833,$0-1,0.55,687554,True,1.49,0.57,0.57,,0.55
Hexing Squelcher (Showcase),27.03,37.99,26.31,40.54753977062524,-2.663706992230864,1032.0,live,34.191,20.308694043655205,$20-50,,671032,True,1.49,21.0,23.5,,26.31
Exotic Orchard,0.26,0.59,0.15,126.92307692307688,-42.30769230769232,1550.0,live,0.531,94.24615384615382,$0-1,0.19,687675,True,1.49,0.17,0.17,,0.19
"Lluwen, Exchange Student",0.31,0.35,0.15,12.903225806451609,-51.61290322580645,1229.0,live,0.315,-3.354838709677426,$0-1,,686550,True,1.49,0.1,0.1,,0.15
Oracle of Mul Daya,2.54,4.49,2.47,76.7716535433071,-2.7559055118110174,1143.0,live,4.041,51.31653543307088,$2-5,2.55,641997,True,1.49,2.44,2.44,,2.55
Lembas,1.45,2.49,1.19,71.7241379310345,-17.931034482758623,1789.0,live,2.241,46.99586206896552,$1-2,1.45,499443,True,1.49,0.98,0.98,,1.45
Nightshade Dryad,0.29,0.35,0.15,20.6896551724138,-48.27586206896552,1399.0,live,0.315,3.3103448275862064,$0-1,0.16,553327,True,1.49,0.12,0.12,,0.16
Serra Paragon,0.67,0.99,0.25,47.761194029850735,-62.68656716417911,1744.0,live,0.891,26.483582089552225,$0-1,0.3,687517,True,1.49,0.49,0.49,,0.3
Smallpox,0.83,0.59,0.19,-28.915662650602407,-77.10843373493975,1102.0,live,0.531,-39.15180722891567,$0-1,,686557,True,1.49,0.54,0.54,,0.19
"Lindblum, Industrial Regency",2.67,4.49,2.62,68.16479400749064,-1.872659176029956,1127.0,live,4.041,43.949063670412,$2-5,,632741,True,1.49,1.35,1.35,,2.62
Dawn's Truce,8.41,13.99,7.72,66.34958382877527,-8.204518430439958,1038.0,live,12.591000000000001,42.39524375743164,$5-10,7.65,559037,True,0.99,6.2,6.99,,7.65
Ad Nauseam,11.04,10.99,10.42,-0.4528985507246281,-5.615942028985501,985.0,live,9.891,-14.787681159420288,$10-20,10.47,688831,True,1.3,9.25,9.25,,10.47
Enduring Curiosity,6.01,8.99,5.21,49.584026622296186,-13.31114808652246,1017.0,live,8.091000000000001,28.043926788685525,$5-10,6.3,575157,True,0.0,4.31,5.87,,6.3
"Breena, the Demagogue",0.5,1.49,0.47,198.0,-6.000000000000005,1507.0,live,1.341,155.088,$0-1,0.51,687612,True,1.49,0.45,0.45,,0.51
Escape Tunnel,0.33,0.35,0.15,6.060606060606049,-54.54545454545456,1732.0,live,0.315,-9.212121212121223,$0-1,0.27,679609,True,1.49,0.02,0.02,,0.27
Talisman of Hierarchy,0.42,1.49,0.4,254.7619047619048,-4.761904761904753,1600.0,live,1.341,203.67619047619047,$0-1,0.4,687633,True,3.99,0.4,0.4,,0.4
Moment of Reckoning,0.24,0.49,0.15,104.16666666666669,-37.5,1218.0,live,0.441,74.76666666666667,$0-1,0.15,689080,True,1.49,0.05,0.05,,0.15
Awaken the Woods,14.18,18.99,14.32,33.92101551480958,0.9873060648801169,980.0,live,17.090999999999998,14.636389280677012,$10-20,14.0,688843,True,0.0,8.79,11.755,,14.0
"Shredder, Shadow Master",0.89,1.99,0.32,123.59550561797754,-64.04494382022472,1174.0,live,1.791,91.39775280898876,$0-1,0.55,679112,True,1.49,0.68,0.68,,0.55
Mistrise Village,9.29,13.99,7.36,50.592034445640486,-20.77502691065661,1036.0,live,12.591000000000001,28.906781485468265,$5-10,8.42,624267,True,0.99,6.8,7.5,,8.42
Mountain (0290),0.29,0.69,0.15,137.9310344827586,-48.27586206896552,3119.0,live,0.621,103.66896551724136,$0-1,,648728,True,1.49,0.22,0.22,,0.15
Basilisk Collar,4.55,6.49,3.95,42.63736263736265,-13.18681318681318,1197.0,live,5.841,22.09758241758242,$2-5,3.99,591076,True,1.49,3.61,3.97,,3.99
High Noon,5.6,8.99,4.73,60.53571428571431,-15.535714285714272,1390.0,live,8.091000000000001,37.41857142857143,$5-10,4.59,544336,True,0.0,4.26,5.44,,4.59
Applied Geometry,0.3,0.49,0.15,63.33333333333334,-50.0,1459.0,live,0.441,39.81333333333333,$0-1,0.15,688814,True,1.49,0.05,0.05,,0.15
Anger,0.49,1.49,0.43,204.08163265306123,-12.244897959183673,1506.0,live,1.341,160.29387755102042,$0-1,0.47,687401,True,1.49,0.45,0.45,,0.47
Arcane Lighthouse,1.75,3.49,1.03,99.42857142857144,-41.14285714285714,1818.0,live,3.1410000000000005,70.71085714285717,$1-2,1.12,687667,True,1.49,1.28,1.71,,1.12
Scientist Supreme of A.I.M.,0.28,0.49,0.15,74.99999999999997,-46.42857142857144,1652.0,live,0.441,49.799999999999976,$0-1,0.2,696650,True,1.49,0.11,0.11,,0.2
Guardian of Faith,0.52,1.79,0.26,244.2307692307692,-50.0,1490.0,live,1.611,194.66153846153847,$0-1,0.32,687422,True,3.99,0.5,0.5,,0.32
Witty Roastmaster,1.81,1.49,0.89,-17.679558011049725,-50.82872928176796,1292.0,live,1.341,-29.53370165745857,$1-2,1.15,268790,True,1.49,0.63,0.63,,1.15
Earth's Mightiest Heroes,0.93,1.29,0.3,38.70967741935484,-67.74193548387098,1406.0,live,1.161,18.735483870967748,$0-1,0.89,696664,True,1.49,0.71,0.71,,0.89
Prologue to Phyresis,0.78,0.99,0.15,26.92307692307692,-80.76923076923077,1375.0,live,0.891,8.646153846153839,$0-1,0.65,479581,True,1.49,0.35,0.35,,0.65
Sodden Verdure,0.39,0.49,0.26,25.64102564102563,-33.33333333333333,1615.0,live,0.441,7.54871794871794,$0-1,0.37,687541,True,1.49,0.36,0.36,,0.37
Valley Floodcaller,3.51,5.99,3.03,70.65527065527067,-13.675213675213676,1025.0,live,5.391,46.08091168091169,$2-5,3.89,559146,True,1.49,2.44,2.48,,3.89
Underworld Breach (Borderless),7.58,10.99,7.77,44.9868073878628,2.506596306068595,994.0,live,9.891,24.108707124010547,$5-10,,679234,True,3.99,6.47,7.8,,7.77
Masked Vandal,1.44,2.29,1.23,59.02777777777779,-14.583333333333332,1746.0,live,2.061,36.12777777777778,$1-2,1.5,230134,True,1.49,1.06,1.06,,1.5
Reprieve,1.58,2.29,0.93,44.93670886075949,-41.13924050632911,1186.0,live,2.061,24.06582278481012,$1-2,1.36,686566,True,1.49,1.09,1.09,,1.36
Diamond Pick-Axe,0.97,1.49,0.78,53.608247422680414,-19.587628865979376,1162.0,live,1.341,31.488659793814428,$0-1,1.05,525223,True,1.49,0.52,0.52,,1.05
Decanter of Endless Water,4.6,4.99,3.06,8.478260869565231,-33.47826086956521,1129.0,live,4.4910000000000005,-7.142608695652164,$2-5,3.99,273372,True,1.49,2.9,3.66,,3.99
Trouble in Pairs (Borderless),15.09,20.99,15.98,39.09874088800529,5.897945659377075,1011.0,live,18.891,19.06852220013253,$10-20,,679072,True,0.0,13.29,15.0,,15.98
The Regalia,1.66,2.49,1.4,50.00000000000002,-15.66265060240964,1085.0,live,2.241,28.40000000000001,$1-2,1.71,633410,True,1.49,1.0,1.0,,1.71
Eye of Nidhogg,2.05,2.99,1.78,45.85365853658539,-13.170731707317064,1026.0,live,2.6910000000000003,24.85073170731708,$2-5,,631216,True,1.49,0.74,0.74,,1.78
Defiling Daemogoth,0.79,0.79,0.72,0.0,-8.860759493670892,1248.0,live,0.7110000000000001,-14.399999999999997,$0-1,0.75,687341,True,3.99,0.78,0.78,,0.75
"Ms. Marvel, Kamala Khan (Borderless)",0.69,0.69,0.15,0.0,-78.26086956521738,1085.0,live,0.621,-14.400000000000002,$0-1,,696553,True,1.49,0.49,0.49,,0.15
Darksteel Mutation,0.8,1.79,0.51,123.75,-36.25000000000001,1754.0,live,1.611,91.53,$0-1,0.66,687396,True,1.49,0.7,0.7,,0.66
Exemplar of Light (0011),1.88,3.99,1.04,112.23404255319151,-44.68085106382978,1206.0,live,3.591,81.67234042553194,$1-2,,589747,True,1.49,1.39,1.39,,1.04
Isolated Chapel,0.36,0.99,0.3,175.0,-16.666666666666664,1351.0,live,0.891,135.4,$0-1,0.57,631324,True,1.49,0.29,0.29,,0.57
Tree of Perdition,2.59,5.49,2.3000000000000003,111.969111969112,-11.19691119691118,1189.0,live,4.941000000000001,81.44555984555986,$2-5,2.49,671135,True,1.49,2.49,2.49,,2.49
Proft's Eidetic Memory,1.93,4.99,2.15,158.54922279792748,11.398963730569948,1143.0,live,4.4910000000000005,121.31813471502592,$1-2,2.78,533895,True,1.49,1.85,1.85,,2.78
Plains (0287),0.27,0.79,0.15,192.59259259259247,-44.44444444444445,2960.0,live,0.7110000000000001,150.45925925925928,$0-1,,648725,True,1.49,0.2,0.2,,0.15
The Seriema,1.01,1.99,0.2,97.02970297029702,-80.19801980198021,1384.0,live,1.791,68.65742574257426,$1-2,0.6,638897,True,1.49,0.46,0.46,,0.6
Utopia Sprawl,1.73,2.49,1.26,43.9306358381503,-27.167630057803464,1252.0,live,2.241,23.20462427745665,$1-2,1.55,513067,True,1.49,1.0,1.0,,1.55
"Carnage, Crimson Chaos",2.19,1.99,0.25,-9.1324200913242,-88.58447488584474,1150.0,live,1.791,-22.21735159817351,$2-5,0.6,651336,True,1.49,0.66,0.66,,0.6
Repel Calamity,0.22,0.35,0.15,59.09090909090908,-31.818181818181824,1292.0,live,0.315,36.18181818181817,$0-1,0.15,688920,True,1.49,0.05,0.05,,0.15
Path to Exile,2.03,2.79,1.15,37.43842364532021,-43.34975369458128,1786.0,live,2.511,17.647290640394107,$2-5,1.2,687458,True,1.49,1.16,1.16,,1.2
Caltrops,25.15,19.99,18.57,-20.5168986083499,-26.163021868787272,1123.0,live,17.991,-31.96246520874752,$20-50,20.25,6150,True,0.75,16.59,16.59,,20.25
Armor Wars,0.29,0.49,0.15,68.96551724137932,-48.27586206896552,1540.0,live,0.441,44.63448275862069,$0-1,0.2,696316,True,1.49,0.17,0.17,,0.2
