name,productId,set,tcg,ck,mp
Gavony Township,55910,,4.84,6.99,4.88
Overgrown Tomb,656709,,8.93,11.99,8.83
Plains,206022,,0.99,0.35,0.15
"Tayam, Luminous Enigma",212143,,2.98,9.49,3.17
"Casey Jones, Back Alley Brute",679589,,0.42,0.69,0.15
Dauthi Voidwalker,240166,,4.02,5.49,3.23
Gleeful Arsonist,578915,,5.83,7.49,3.38
Kederekt Parasite,578921,,8.36,9.99,5.21
Kessig Flamebreather,253555,,3.73,5.49,3.53
Soot Imp,27205,,1.72,0.59,1.06
Unstable Amulet,552637,,0.22,0.35,0.15
Bolt Bend,591021,,2.48,4.99,2.75
Pyretic Ritual,688919,,5.4,7.99,4.65
Ricochet Trap,34423,,1.71,0.59,0.2
Seething Song,11423,,14.51,6.99,6.99
Slaughter Pact,233859,,1.53,1.79,1.35
Snuff Out,631256,,6.49,8.49,6.14
The Last Agni Kai,660545,,2.17,3.49,1.28
Grapeshot,457203,,0.33,0.59,0.15
Reckless Handling,495617,,0.3,0.59,0.15
Scheming Symmetry,192521,,7.96,11.99,8.48
All Will Be One,479312,,15.25,14.99,12.3
Shadow of the Goblin,651989,,1.1,1.49,0.25
Arena of Glory,553264,,7.5,11.99,6.61
Forbidden Orchard,276798,,9.72,11.99,7.79
Luxury Suite,698116,,9.32,13.99,9.53
Raucous Theater,532911,,9.95,15.99,9.79
"Ob Nixilis, Captive Kingpin",495606,,18.32,19.99,16.31
Notion Thief,499638,,2.46,2.49,1.03
Banishing Knack,27069,,4.76,1.49,1.05
Gush,6547,,5.1,3.49,1.67
Insidious Dreams,9748,,14.84,13.99,18.74
Nature's Claim,34405,,1.23,1.29,0.37
Worldly Tutor,5300,,35.65,32.99,24.71
Doomsday,697282,,3.27,5.49,2.94
Carpet of Flowers,519515,,1.65,3.49,1.54
City of Solitude,5814,,24.52,9.99,11.24
"Jace, Wielder of Mysteries",187141,,8.97,11.99,6.86
Llanowar Wastes,687692,,0.49,1.49,0.47
Multiversal Passage,646661,,6.77,10.99,5.71
Underground River,615049,,1.06,3.49,1.49
"Glarb, Calamity's Augur",558331,,3.8,3.49,3.31
Boggart Trawler,552873,,0.87,2.29,
Changeling Outcast,190942,,1.77,1.49,1.54
Dream Beavers,680261,,0.4,0.35,0.15
Faerie Seer,191569,,0.38,0.59,0.25
Gingerbrute,198887,,0.24,0.69,0.16
Gudul Lurker,96452,,0.59,1.29,0.41
Hydroelectric Specimen,553181,,0.83,1.79,
Impossible Man,697202,,16.37,,13.8
"Loki, Lord of Misrule",697204,,67.05,,62.24
"Mai, Scornful Striker",661961,,1.1,1.79,0.2
Mistblade Shinobi,12311,,2.19,1.49,0.65
Mothdust Changeling,18020,,0.59,1.49,0.26
Ornithopter,457188,,0.28,0.69,0.15
Shadow of Mortality,268782,,0.62,1.29,0.3
Skullsnatcher,12356,,0.66,0.49,0.15
"Sun Quan, Lord of Wu",504491,,8.12,11.99,8.73
Super Shredder,657755,,18.12,20.99,17.51
"Tetsuko Umezawa, Fugitive",491830,,0.2,0.35,0.15
Thousand-Faced Shadow,262130,,2.57,2.49,1.19
Throat Slitter,507595,,2.89,2.79,2.41
Wingcrafter,58178,,0.22,0.35,0.15
Key to the City,631182,,0.27,0.49,0.15
Mindcrank,39544,,7.9,10.99,8.2
Scroll Rack,226675,,32.85,27.99,18.74
Fell the Profane,552580,,3.1,5.99,
Flare of Denial,548596,,3.61,5.49,3.02
Flare of Malice,552274,,1.97,2.99,1.33
Spider-Sense,651910,,1.67,2.79,1.17
Agadeem's Awakening,222163,,28.62,29.99,
Crippling Fear,456823,,0.42,1.29,0.36
Temporal Mastery,58177,,4.71,5.49,3.59
Temporal Trespass,541325,,2.78,4.99,2.55
Aqueous Form,71316,,0.37,0.99,0.35
Black Market Connections,698008,,10.07,15.99,12.62
Bloodchief Ascension,504564,,20.32,22.99,15.39
Chains of Mephistopheles,3825,,1183.06,1399.99,1406.7
Leyline of the Void,575262,,0.58,0.69,0.16
"Kaito, Bane of Nightmares",575076,,9.39,16.99,8.33
Gloomlake Verge,576518,,10.26,12.99,9.1
Snow-Covered Island,190649,,1.95,1.99,1.29
Snow-Covered Swamp,190652,,1.04,0.79,0.61
Swamp,206024,,1.91,0.35,0.15
"Yuriko, the Tiger's Shadow",504503,,3.5,2.99,3.01
Archmage Emeritus,687389,,0.5,1.49,0.37
Dragon's Rage Channeler,240055,,1.56,1.79,0.61
Harmonic Prodigy,687475,,3.21,5.49,3.17
Phantasmal Image,47629,,4.43,6.49,4.31
Pollywog Prodigy,559733,,6.39,10.99,6.03
Tavern Scoundrel,240341,,0.3,0.35,0.15
"Veyran, Voice of Duality",687658,,1.36,3.99,0.65
Mogg Salvage,239750,,0.21,0.35,0.15
Submerge,7250,,7.12,4.99,3.13
Surgical Extraction,544865,,1.47,3.49,0.78
"Krark, the Thumbless",226121,,1.7,1.99,1.04
Ainok Strike Leader,624277,,2.68,4.49,2.34
Angrath's Marauders,525731,,0.21,0.69,0.15
Anointed Peacekeeper,283402,,0.32,0.49,0.15
Auratouched Mage,13194,,0.21,0.35,0.18
Aven Mindcensor,129724,,1.36,0.79,0.46
Blade Historian,235551,,5.27,7.99,5.09
"Boromir, Warden of the Tower",498305,,5.79,7.99,5.41
Charismatic Conqueror,525710,,22.25,24.99,20.05
Clarion Conqueror,624539,,2.04,3.49,1.56
Combat Celebrant,559819,,1.31,2.29,0.67
Deep Gnome Terramancer,273676,,8.77,8.99,7.05
Giver of Runes,190865,,11.14,11.99,9.45
Goblin Rabblemaster,590545,,0.45,1.29,0.36
"Greymond, Avacyn's Stalwart",513295,,67.34,89.99,66.79
Howlsquad Heavy,615912,,3.06,3.99,1.5
"Lena, Selfless Champion",169111,,0.33,1.29,0.32
Loyal Apprentice,624332,,0.32,0.49,0.19
Magus of the Moon,233956,,4.13,4.49,3.89
Ocelot Pride,552863,,40.69,57.99,40.79
Ornithopter of Paradise,615168,,0.43,0.99,0.2
"Phelia, Exuberant Shepherd",548602,,4.87,8.49,3.64
Phyrexian Revoker,448815,,0.33,0.49,0.25
Phyrexian Walker,5899,,1.73,2.79,1.65
"Quicksilver, Brash Blur",668459,,0.26,0.49,0.15
"Rionya, Fire Dancer",687423,,0.58,0.49,0.4
Sanctum Prelate,242407,,0.63,1.49,1.56
Signal Pest,39139,,0.42,0.99,0.36
"Skrelv, Defector Mite",478278,,3.21,4.99,3.02
"Slicer, Hired Muscle",448834,,8.94,10.99,
"Smellerbee, Rebel Fighter",662367,,0.32,0.69,0.2
Solitude,240037,,33.5,44.99,36.75
Soulless Jailer,479347,,3.06,2.29,1.12
Spirit of the Labyrinth,78851,,0.78,0.69,0.3
"Thalia, Guardian of Thraben",252859,,0.47,0.49,0.36
Witch Enchanter,552336,,3.47,6.49,
Aether Vial,11608,,4.57,3.49,1.77
Breath of Fury,693443,,7.95,12.99,8.37
Battlefield Forge,624204,,0.34,0.69,0.15
Blinkmoth Nexus,98643,,1.87,0.99,0.79
"Eiganjo, Seat of the Empire",262746,,5.16,9.99,5.75
Mishra's Factory,239686,,0.28,0.35,0.15
Needleverge Pathway,221838,,3.59,4.99,
Spectator Seating,697454,,6.43,8.99,6.63
"Winota, Joiner of Forces",212622,,4.31,4.49,2.08
Asmodeus the Archfiend,243588,,0.35,0.49,0.15
Balthor the Defiled,10221,,12.17,10.99,12.68
Blood Celebrant,10746,,1.06,0.99,0.64
Blood Pet,5471,,0.92,1.49,0.82
"Braids, Arisen Nightmare",641961,,4.64,5.99,4.06
"Chainer, Dementia Master",503401,,0.32,0.49,0.15
Dimir House Guard,531152,,0.12,0.35,0.15
Fleshwrither,14886,,5.84,4.49,2.51
Gravecrawler,615096,,0.99,1.99,0.63
Gray Merchant of Asphodel,71021,,0.95,2.29,0.76
Hoarding Broodlord,490572,,5.55,7.49,4.58
"Mikaeus, the Unhallowed",57666,,26.4,27.99,26.05
Necrotic Ooze,36409,,2.76,2.29,1.89
"Razaketh, the Foulblooded",135056,,13.58,14.99,12.85
"Sheoldred, the Apocalypse",282800,,96.04,119.99,78.12
"Sidisi, Undead Vizier",96362,,7.59,8.99,7.14
Skirge Familiar,239843,,0.28,0.99,0.15
Vile Entomber,240279,,0.38,0.79,0.15
"Vilis, Broker of Blood",192644,,9.19,13.99,7.57
Warren Soultrader,552631,,14.29,20.99,13.79
Jet Medallion,552320,,10.99,15.99,10.57
Mind Stone,463303,,0.32,0.79,0.25
The Darkness Crystal,630862,,4.79,5.99,4.06
Baleful Mastery,235848,,2.75,2.99,1.87
Cut Down,282845,,0.42,0.79,0.19
Entomb,457198,,17.12,18.99,14.57
Fatal Push,556012,,0.41,0.99,0.15
Force of Despair,190880,,8.36,6.99,8.22
Imp's Mischief,544837,,7.79,9.49,6.75
March of Wretched Sorrow,262443,,0.33,0.49,0.15
Saw in Half,560019,,5.41,6.99,4.78
Shallow Grave,5226,,99.75,159.99,106.97
Shred Memory,13417,,1.64,0.79,0.64
Beseech the Queen,222434,,4.72,4.99,4.16
Buried Alive,552813,,0.82,1.99,0.52
Chain of Smog,10340,,10.36,9.49,6.35
Dark Petition,689839,,2.92,6.49,2.62
Final Parting,507114,,0.39,0.59,0.31
Persist,671161,,1.49,1.79,0.78
Reanimate,631573,,8.06,11.99,7.32
Unmarked Grave,239388,,2.9,3.99,2.59
Animate Dead,687375,,4.87,6.99,5.0
Dance of the Dead,4639,,16.47,18.99,17.39
Heartless Summoning,609969,,1.62,1.99,0.92
Necromancy,5890,,17.85,21.99,20.3
The Meathook Massacre,248212,,26.83,32.99,26.82
Professor Onyx,579064,,5.54,7.99,5.36
"Nykthos, Shrine to Nyx",71039,,52.15,69.99,51.99
"Takenuma, Abandoned Mire",262420,,11.56,16.99,10.93
"Urborg, Tomb of Yawgmoth",91106,,55.55,69.99,60.94
"K'rrik, Son of Yawgmoth",552301,,0.78,1.49,0.32
"Linvala, Keeper of Silence",216559,,20.06,23.99,19.68
Maralen of the Mornsong,18012,,33.8,29.99,36.69
Sakashima of a Thousand Faces,227010,,34.39,27.99,14.57
Serra Ascendant,35573,,31.43,29.99,29.13
Snapcaster Mage,52206,,15.59,18.99,18.3
Blue Elemental Blast,1349,,1.88,1.29,1.1
Glen Elendra's Answer,670991,,1.13,0.99,0.46
Hydroblast,4727,,4.16,2.99,2.41
Narset's Reversal,624156,,2.15,2.99,1.3
Confounding Conundrum,221854,,0.32,0.49,0.15
Vault of Champions,221351,,14.39,18.99,16.01
Marneus Calgar,285803,,12.98,,
Sire of Insanity,67898,,0.52,0.79,0.4
"Valgavoth, Terror Eater",575065,,14.58,21.99,14.84
Chalice of the Void,11465,,15.73,24.99,18.01
"Chimil, the Inner Sun",671263,,9.7,8.99,7.74
God-Pharaoh's Statue,187246,,0.75,1.49,0.35
Manifold Key,192637,,1.75,2.29,1.17
Sphere of Resistance,4410,,30.84,11.99,13.53
Tangle Wire,7251,,35.26,9.99,10.97
Thran Dynamo,559925,,4.32,3.99,2.13
Voltaic Key,35627,,3.67,0.99,0.66
Divergent Transformations,504653,,0.37,0.49,0.26
Fire Magic,630969,,0.98,1.29,0.15
Avengers Disassembled,696560,,0.97,3.49,0.48
Blasphemous Act,687417,,0.75,1.99,0.44
Cave-In,6461,,14.33,20.99,20.82
From the Ashes,71881,,3.38,2.79,2.45
Obliterate,121178,,5.14,3.99,2.83
Reality Scramble,170965,,0.52,0.79,0.38
Transmogrify,215571,,0.31,0.49,0.19
Blood Moon,512369,,9.14,9.49,7.49
Contamination,6825,,17.7,8.49,4.11
Nether Void,3963,,507.99,599.99,547.03
Stranglehold,46952,,7.24,8.49,9.12
"Chandra, Awakened Inferno",192222,,9.5,13.99,8.28
"Karn, the Great Creator",188386,,4.55,5.99,3.57
"Lukka, Coppercoat Outcast",211996,,0.58,0.99,0.43
Blightstep Pathway,229209,,5.15,7.99,
Snow-Covered Mountain,190650,,0.8,0.79,0.72
Sulfurous Springs,642071,,1.23,1.79,1.18
"Tevesh Szat, Doom of Fools",226122,,7.35,7.99,7.29
