name,units,tcgplayer,cardkingdom,manapool
Scroll Rack,1,32.85,27.99,18.74
Flare of Denial,1,3.61,5.49,3.02
Flare of Malice,1,1.97,2.99,1.33
Spider-Sense,1,1.67,2.79,1.17
Crippling Fear,1,0.42,1.29,0.36
Temporal Mastery,1,4.71,5.49,3.59
Temporal Trespass,1,2.78,4.99,2.55
Aqueous Form,1,0.37,0.99,0.35
Black Market Connections,1,10.07,15.99,12.62
Bloodchief Ascension,1,20.32,22.99,15.39
Chains of Mephistopheles,1,1183.06,1399.99,1406.7
Leyline of the Void,1,0.58,0.69,0.16
"Kaito, Bane of Nightmares",1,9.39,16.99,8.33
Gloomlake Verge,1,10.26,12.99,9.1
Snow-Covered Island,1,1.95,1.99,1.29
Snow-Covered Swamp,2,1.04,0.79,0.61
Swamp,15,1.91,0.35,0.15
"Yuriko, the Tiger's Shadow",1,3.5,2.99,3.01
Archmage Emeritus,1,0.5,1.49,0.37
Dragon's Rage Channeler,1,1.56,1.79,0.61
Harmonic Prodigy,1,3.21,5.49,3.17
Phantasmal Image,1,4.43,6.49,4.31
Pollywog Prodigy,1,6.39,10.99,6.03
Tavern Scoundrel,1,0.3,0.35,0.15
"Veyran, Voice of Duality",1,1.36,3.99,0.65
Mogg Salvage,1,0.21,0.35,0.15
Submerge,1,7.12,4.99,3.13
Surgical Extraction,1,1.47,3.49,0.78
"Krark, the Thumbless",1,1.7,1.99,1.04
Ainok Strike Leader,1,2.68,4.49,2.34
Angrath's Marauders,1,0.21,0.69,0.15
Anointed Peacekeeper,1,0.32,0.49,0.15
Auratouched Mage,1,0.21,0.35,0.18
Aven Mindcensor,1,1.36,0.79,0.46
Blade Historian,1,5.27,7.99,5.09
"Boromir, Warden of the Tower",1,5.79,7.99,5.41
Charismatic Conqueror,1,22.25,24.99,20.05
Clarion Conqueror,1,2.04,3.49,1.56
Combat Celebrant,1,1.31,2.29,0.67
Deep Gnome Terramancer,1,8.77,8.99,7.05
Giver of Runes,1,11.14,11.99,9.45
Goblin Rabblemaster,1,0.45,1.29,0.36
"Greymond, Avacyn's Stalwart",1,67.34,89.99,66.79
Howlsquad Heavy,1,3.06,3.99,1.5
"Lena, Selfless Champion",1,0.33,1.29,0.32
Loyal Apprentice,1,0.32,0.49,0.19
Magus of the Moon,1,4.13,4.49,3.89
Ocelot Pride,2,40.69,57.99,40.79
Ornithopter of Paradise,1,0.43,0.99,0.2
"Phelia, Exuberant Shepherd",1,4.87,8.49,3.64
Phyrexian Revoker,1,0.33,0.49,0.25
Phyrexian Walker,1,1.73,2.79,1.65
"Quicksilver, Brash Blur",1,0.26,0.49,0.15
"Rionya, Fire Dancer",1,0.58,0.49,0.4
Sanctum Prelate,1,0.63,1.49,1.56
Signal Pest,1,0.42,0.99,0.36
"Skrelv, Defector Mite",1,3.21,4.99,3.02
"Smellerbee, Rebel Fighter",1,0.32,0.69,0.2
Solitude,1,33.5,44.99,36.75
Soulless Jailer,1,3.06,2.29,1.12
Spirit of the Labyrinth,1,0.78,0.69,0.3
"Thalia, Guardian of Thraben",1,0.47,0.49,0.36
Aether Vial,1,4.57,3.49,1.77
Breath of Fury,1,7.95,12.99,8.37
Battlefield Forge,1,0.34,0.69,0.15
Blinkmoth Nexus,1,1.87,0.99,0.79
"Eiganjo, Seat of the Empire",1,5.16,9.99,5.75
Mishra's Factory,1,0.28,0.35,0.15
Spectator Seating,1,6.43,8.99,6.63
"Winota, Joiner of Forces",1,4.31,4.49,2.08
Asmodeus the Archfiend,1,0.35,0.49,0.15
Balthor the Defiled,1,12.17,10.99,12.68
Blood Celebrant,1,1.06,0.99,0.64
Blood Pet,1,0.92,1.49,0.82
"Braids, Arisen Nightmare",1,4.64,5.99,4.06
"Chainer, Dementia Master",1,0.32,0.49,0.15
Dimir House Guard,1,0.12,0.35,0.15
Fleshwrither,1,5.84,4.49,2.51
Gravecrawler,1,0.99,1.99,0.63
Gray Merchant of Asphodel,1,0.95,2.29,0.76
Hoarding Broodlord,1,5.55,7.49,4.58
"Mikaeus, the Unhallowed",1,26.4,27.99,26.05
Necrotic Ooze,1,2.76,2.29,1.89
"Razaketh, the Foulblooded",1,13.58,14.99,12.85
"Sheoldred, the Apocalypse",1,96.04,119.99,78.12
"Sidisi, Undead Vizier",1,7.59,8.99,7.14
Skirge Familiar,1,0.28,0.99,0.15
Vile Entomber,1,0.38,0.79,0.15
"Vilis, Broker of Blood",1,9.19,13.99,7.57
Warren Soultrader,1,14.29,20.99,13.79
Jet Medallion,1,10.99,15.99,10.57
Mind Stone,1,0.32,0.79,0.25
The Darkness Crystal,1,4.79,5.99,4.06
Baleful Mastery,1,2.75,2.99,1.87
Cut Down,1,0.42,0.79,0.19
Entomb,1,17.12,18.99,14.57
Fatal Push,1,0.41,0.99,0.15
Force of Despair,1,8.36,6.99,8.22
Imp's Mischief,1,7.79,9.49,6.75
March of Wretched Sorrow,1,0.33,0.49,0.15
Saw in Half,1,5.41,6.99,4.78
Shallow Grave,1,99.75,159.99,106.97
Shred Memory,1,1.64,0.79,0.64
Beseech the Queen,1,4.72,4.99,4.16
Buried Alive,1,0.82,1.99,0.52
Chain of Smog,2,10.36,9.49,6.35
Dark Petition,1,2.92,6.49,2.62
Final Parting,1,0.39,0.59,0.31
Persist,1,1.49,1.79,0.78
Reanimate,2,8.06,11.99,7.32
Unmarked Grave,1,2.9,3.99,2.59
Animate Dead,1,4.87,6.99,5.0
Dance of the Dead,1,16.47,18.99,17.39
Heartless Summoning,1,1.62,1.99,0.92
Necromancy,1,17.85,21.99,20.3
The Meathook Massacre,1,26.83,32.99,26.82
Professor Onyx,2,5.54,7.99,5.36
"Nykthos, Shrine to Nyx",1,52.15,69.99,51.99
"Takenuma, Abandoned Mire",1,11.56,16.99,10.93
"Urborg, Tomb of Yawgmoth",1,55.55,69.99,60.94
"K'rrik, Son of Yawgmoth",1,0.78,1.49,0.32
"Linvala, Keeper of Silence",1,20.06,23.99,19.68
Maralen of the Mornsong,1,33.8,29.99,36.69
Sakashima of a Thousand Faces,1,34.39,27.99,14.57
Serra Ascendant,1,31.43,29.99,29.13
Snapcaster Mage,1,15.59,18.99,18.3
Blue Elemental Blast,1,1.88,1.29,1.1
Glen Elendra's Answer,1,1.13,0.99,0.46
Hydroblast,1,4.16,2.99,2.41
Narset's Reversal,1,2.15,2.99,1.3
Confounding Conundrum,1,0.32,0.49,0.15
Vault of Champions,1,14.39,18.99,16.01
Sire of Insanity,1,0.52,0.79,0.4
"Valgavoth, Terror Eater",1,14.58,21.99,14.84
Chalice of the Void,1,15.73,24.99,18.01
"Chimil, the Inner Sun",1,9.7,8.99,7.74
God-Pharaoh's Statue,1,0.75,1.49,0.35
Manifold Key,1,1.75,2.29,1.17
Sphere of Resistance,1,30.84,11.99,13.53
Tangle Wire,1,35.26,9.99,10.97
Thran Dynamo,1,4.32,3.99,2.13
Voltaic Key,1,3.67,0.99,0.66
Divergent Transformations,1,0.37,0.49,0.26
Fire Magic,1,0.98,1.29,0.15
Avengers Disassembled,1,0.97,3.49,0.48
Blasphemous Act,1,0.75,1.99,0.44
Cave-In,1,14.33,20.99,20.82
From the Ashes,1,3.38,2.79,2.45
Obliterate,1,5.14,3.99,2.83
Reality Scramble,1,0.52,0.79,0.38
Transmogrify,1,0.31,0.49,0.19
Blood Moon,1,9.14,9.49,7.49
Contamination,1,17.7,8.49,4.11
Nether Void,1,507.99,599.99,547.03
Stranglehold,1,7.24,8.49,9.12
"Chandra, Awakened Inferno",1,9.5,13.99,8.28
"Karn, the Great Creator",1,4.55,5.99,3.57
"Lukka, Coppercoat Outcast",1,0.58,0.99,0.43
Snow-Covered Mountain,1,0.8,0.79,0.72
Sulfurous Springs,1,1.23,1.79,1.18
"Tevesh Szat, Doom of Fools",1,7.35,7.99,7.29
