card,set,fmt,units,tcgplayer,cardkingdom,manapool
Treasure Vault,Commander: Aetherdrift,commander,1,1.03,2.49,1.04
Incubation Druid,Commander: FINAL FANTASY,commander,1,1.03,1.79,0.97
Path to Exile,Commander: Marvel Super Heroes,commander,2,1.04,2.49,1.11
Cursed Totem,Modern Horizons 2,commander,4,1.04,1.49,0.88
Snow-Covered Swamp,Modern Horizons,commander,2,1.04,0.79,0.39
"Carnage, Crimson Chaos",Play Promos,standard,2,1.05,2.29,1.21
Urza's Cave,Modern Horizons 3,commander,1,1.05,2.29,0.52
"Ardyn, the Usurper",FINAL FANTASY,standard,2,1.05,1.29,0.33
Underground River,Commander: Aetherdrift,commander,2,1.06,3.99,1.63
Stock Up,Secrets of Strixhaven: Mystical Archive,standard,27,1.06,0.99,0.43
Sulfurous Springs,Commander: FINAL FANTASY,commander,1,1.06,2.29,1.17
Blood Celebrant,Legions,commander,1,1.06,0.99,0.43
Avengers Disassembled,Marvel Super Heroes,standard,9,1.07,3.49,0.5
Snow-Covered Forest,Modern Horizons,commander,4,1.08,1.49,0.72
Day of Black Sun,Avatar: The Last Airbender,standard,7,1.08,1.49,0.3
Shadow of the Goblin,Marvel's Spider-Man,commander,1,1.09,1.49,0.23
Nature's Claim,Eternal Masters,commander,1,1.1,1.29,0.64
Agna Qel'a,Avatar: The Last Airbender,standard,1,1.11,1.79,0.87
"Mai, Scornful Striker",Avatar: The Last Airbender,commander,1,1.12,1.79,0.19
Glen Elendra's Answer,Lorwyn Eclipsed,commander,1,1.12,0.99,0.46
Sheltered by Ghosts,Commander: Secrets of Strixhaven,standard,6,1.12,2.99,1.08
"Veyran, Voice of Duality",Commander: Tarkir: Dragonstorm,commander,1,1.13,4.49,0.9
Thousand-Year Storm,Foundations,standard,1,1.14,1.49,0.46
Preacher of the Schism,Promo Pack: The Lost Caverns of Ixalan,standard,1,1.14,1.49,0.9
Sapling Nursery,Lorwyn Eclipsed,standard,4,1.16,1.79,0.28
Swords to Plowshares,Commander: Marvel Super Heroes,commander,6,1.17,2.29,1.53
Insidious Roots,Murders at Karlov Manor,commander,1,1.2,2.79,0.88
Adaptive Automaton,The Brothers' War: Retro Frame Artifacts,commander,1,1.21,2.29,0.6900000000000001
Mistblade Shinobi,The List Reprints,commander,1,1.22,1.79,0.65
Eternal Witness,Starter Commander Decks,commander,3,1.24,1.49,1.26
Maskwood Nexus,Commander: Modern Horizons 3,commander,1,1.24,1.99,1.13
Oildeep Gearhulk,Aetherdrift,standard,3,1.25,1.99,0.48
Notion Thief,Commander: Zendikar Rising,commander,1,1.27,2.49,1.3
Daze,Secrets of Strixhaven: Mystical Archive,commander,3,1.27,2.29,0.87
Slaughter Pact,Modern Masters,commander,1,1.28,1.99,1.22
Storm-Kiln Artist,Commander: Secrets of Strixhaven,commander,4,1.3,2.29,1.33
Sol Ring,Commander: Secrets of Strixhaven,commander,25,1.33,2.49,1.43
"Ashiok, Dream Render",War of the Spark,commander,1,1.33,1.29,0.61
Shattered Sanctum,Secrets of Strixhaven,standard,5,1.35,2.79,0.92
Brainstorm,Commander 2018,commander,2,1.37,2.49,1.71
Airbender Ascension,Avatar: The Last Airbender,standard,2,1.38,2.29,0.52
Centaur Garden,Odyssey,commander,1,1.38,1.49,0.89
Leyline of Abundance,Core Set 2020,commander,1,1.39,1.49,0.93
Altar of the Wretched,Commander: The Lost Caverns of Ixalan,commander,1,1.39,2.99,4.68
Burnt Offering,Ice Age,commander,1,1.41,1.29,0.77
Persist,Modern Horizons 2,commander,1,1.42,1.79,0.76
Expedition Map,Zendikar,commander,2,1.42,3.99,1.0
Disruptor Flute,Modern Horizons 3,commander,1,1.43,2.99,0.9
Peter Parker's Camera,Marvel's Spider-Man,commander,1,1.43,1.99,0.91
Manifold Key,Commander Legends: Battle for Baldur's Gate,commander,1,1.45,2.29,1.09
Soot Imp,Duel Decks: Anthology,commander,1,1.45,1.49,1.11
Botanical Sanctum,Kaladesh,commander,1,1.45,2.49,1.11
Mightform Harmonizer,Edge of Eternities,standard,8,1.45,2.79,1.04
Heartless Summoning,Innistrad,commander,1,1.47,2.79,1.22
Blue Elemental Blast,Fourth Edition,commander,1,1.49,1.29,0.59
Qarsi Revenant,Promo Pack: Tarkir: Dragonstorm,standard,9,1.49,2.79,1.55
Surgical Extraction,Outlaws of Thunder Junction: Breaking News,commander,1,1.49,3.49,0.78
Sanctum Prelate,Conspiracy: Take the Crown,commander,1,1.5,1.29,0.7000000000000001
Saheeli Rai,Kaladesh,commander,1,1.51,2.29,1.26
Flare of Duplication,Modern Horizons 3,commander,6,1.52,2.29,1.03
North Wind Avatar,Teenage Mutant Ninja Turtles,standard,2,1.52,1.79,0.43
Eddymurk Crab,Bloomburrow,standard,8,1.52,1.99,0.48
Pinnacle Monk,Modern Horizons 3,commander,1,1.55,3.49,1.32
Knight of the Reliquary,Iconic Masters,commander,1,1.55,1.99,1.42
Ponder,Commander: Tarkir: Dragonstorm,commander,1,1.56,4.49,2.02
Sculpting Steel,10th Edition,commander,1,1.56,3.99,2.6
Sunderflock,Lorwyn Eclipsed,standard,8,1.56,2.29,1.03
Fyndhorn Elves,Commander Legends,commander,3,1.57,3.99,2.06
Withering Curse,Secrets of Strixhaven,standard,3,1.57,1.29,0.6
Virulent Emissary,Lorwyn Eclipsed,standard,1,1.58,1.79,0.15
Dragon's Rage Channeler,Modern Horizons 2,commander,1,1.58,1.49,0.77
Abrupt Decay,Outlaws of Thunder Junction: Breaking News,commander,2,1.58,2.29,1.04
The Unagi of Kyoshi Island,Avatar: The Last Airbender,standard,4,1.58,2.49,0.71
Wishclaw Talisman,Foundations,commander,11,1.58,3.99,2.04
Marang River Regent,Promo Pack: Tarkir: Dragonstorm,standard,9,1.59,2.79,2.22
Geier Reach Sanitarium,Commander: Adventures in the Forgotten Realms,commander,1,1.6,3.99,2.05
"Haliya, Guided by Light",Edge of Eternities,standard,2,1.6,4.99,1.65
Biomancer's Familiar,Ravnica Allegiance,commander,2,1.61,2.99,1.09
Carpet of Flowers,Universes Beyond: Doctor Who,commander,1,1.62,3.49,1.5
Spider-Sense,Marvel's Spider-Man,standard,11,1.62,2.79,1.03
Split Up,Promo Pack: Duskmourn: House of Horror,standard,2,1.63,2.49,1.71
Shred Memory,Ravnica: City of Guilds,commander,1,1.64,0.79,0.36
Warden of the Grove,Promo Pack: Tarkir: Dragonstorm,commander,1,1.64,2.99,1.7
Winternight Stories,Tarkir: Dragonstorm,standard,11,1.64,2.29,0.73
Keen-Eyed Curator,Bloomburrow,standard,4,1.65,1.49,0.2
Muddle the Mixture,Ravnica: City of Guilds,commander,1,1.66,2.99,1.65
Pyrokinesis,The List Reprints,commander,1,1.66,3.49,2.08
"Gogo, Mysterious Mime",Commander: FINAL FANTASY,commander,1,1.69,2.79,1.5
Changeling Outcast,Modern Horizons,commander,1,1.71,1.49,1.45
Strix Serenade,Modern Horizons 3,commander,1,1.71,2.79,0.51
Talisman of Creativity,Commander: Marvel Super Heroes,commander,1,1.71,3.49,1.7
Copy Enchantment,Wilds of Eldraine: Enchanting Tales,commander,2,1.72,2.49,0.8200000000000001
Resonating Lute,Secrets of Strixhaven,standard,1,1.73,1.49,1.35
Flow State,Secrets of Strixhaven,standard,7,1.73,2.99,0.93
Sowing Mycospawn,Modern Horizons 3,commander,1,1.73,2.49,1.03
Phyrexian Walker,Visions,commander,1,1.75,2.79,0.8300000000000001
Tinder Wall,Ice Age,commander,1,1.76,0.99,0.5
Snow-Covered Island,Jumpstart 2022,commander,1,1.78,2.99,2.06
Restless Cottage,Wilds of Eldraine,standard,2,1.79,1.99,1.08
"Krark, the Thumbless",Commander Legends,commander,1,1.79,1.99,1.04
Inspiring Vantage,Kaladesh,standard,2,1.8,3.99,1.64
Stormcarved Coast,Promo Pack: Secrets of Strixhaven,standard,9,1.84,3.99,1.91
Blinkmoth Nexus,Modern Masters 2015,commander,1,1.87,2.49,1.03
Sundown Pass,Secrets of Strixhaven,standard,6,1.89,2.99,1.58
Archon of Emeria,Promo Pack: Zendikar Rising,commander,2,1.91,2.49,1.96
Thousand-Faced Shadow,Promo Pack: Kamigawa: Neon Dynasty,commander,1,1.92,3.99,1.8
Earthbender Ascension,Avatar: The Last Airbender,standard,8,1.93,3.49,1.64
"Tyvar, Jubilant Brawler",Phyrexia: All Will Be One,commander,2,1.93,1.99,1.04
Mishra's Bauble,The Brothers' War: Retro Frame Artifacts,commander,1,1.94,3.49,1.82
Lively Dirge,Outlaws of Thunder Junction,commander,1,1.95,2.99,1.76
Tablet of Discovery,Secrets of Strixhaven,standard,23,1.95,1.99,0.96
Deathcap Glade,Secrets of Strixhaven,standard,8,1.95,2.79,1.92
Ghostly Pilferer,Commander: Innistrad: Crimson Vow,commander,1,1.97,4.49,1.92
Restoration Magic,FINAL FANTASY,standard,1,2.06,2.79,1.25
Clarion Conqueror,Promo Pack: Tarkir: Dragonstorm,commander,4,2.06,3.99,2.71
Galvanic Blast,The List Reprints,commander,1,2.08,2.99,2.18
Gathering Place,Marvel Super Heroes,standard,4,2.1,4.49,2.3000000000000003
Flare of Malice,Modern Horizons 3,commander,1,2.11,2.99,1.01
Lotus Field,Core Set 2020,commander,1,2.11,3.99,2.04
Great Furnace,Commander 2018,commander,4,2.12,3.99,2.66
Oboro Breezecaller,Saviors of Kamigawa,commander,2,2.12,0.99,0.96
Deafening Silence,Throne of Eldraine,commander,2,2.12,1.79,1.02
Narset's Reversal,Commander: Tarkir: Dragonstorm,commander,1,2.13,3.99,2.04
Mirrorpool,Oath of the Gatewatch,commander,1,2.17,4.49,1.3
Tishana's Tidebinder,The Lost Caverns of Ixalan,standard,2,2.17,3.99,1.72
Blooming Marsh,Kaladesh,standard,4,2.17,4.99,2.03
Sunspine Lynx,Bloomburrow,standard,5,2.18,2.79,1.11
The Last Agni Kai,Avatar: The Last Airbender,commander,1,2.2,3.49,1.25
Restless Reef,The Lost Caverns of Ixalan,standard,8,2.22,2.29,1.21
"Aang, Swift Savior",Avatar: The Last Airbender,standard,6,2.24,3.99,1.86
Vexing Bauble,Modern Horizons 3,commander,9,2.24,4.49,2.01
Goblin Bombardment,Game Day & Store Championship Promos,commander,1,2.25,3.99,2.34
Into the Flood Maw,Bloomburrow,commander,10,2.34,3.99,1.87
"Rograkh, Son of Rohgahh",Commander Legends,commander,4,2.35,2.99,2.08
Mirrormade,Throne of Eldraine,commander,5,2.35,3.49,1.72
Ruthless Technomancer,Foundations Jumpstart,commander,1,2.35,5.49,2.43
Consult the Star Charts,Edge of Eternities,standard,11,2.36,5.49,2.49
Virtue of Courage,Promo Pack: Wilds of Eldraine,commander,1,2.38,7.99,3.94
Vesuva,Commander: Modern Horizons 3,commander,1,2.38,4.99,2.17
Phyrexian Metamorph,Commander: Edge of Eternities,commander,3,2.42,3.99,2.43
"Sokenzan, Crucible of Defiance",Promo Pack: Kamigawa: Neon Dynasty,commander,2,2.42,6.99,3.84
Bolt Bend,Foundations,commander,1,2.43,4.99,2.81
Horizon Explorer,Commander: Edge of Eternities,commander,1,2.49,2.99,2.34
Commandeer,Outlaws of Thunder Junction: Breaking News,commander,7,2.51,4.49,1.8
Superior Spider-Man,Marvel's Spider-Man,standard,8,2.51,2.99,1.49
An Offer You Can't Refuse,The List Reprints,commander,11,2.51,4.49,2.6
Spark Mage,Odyssey,commander,1,2.52,3.49,2.07
"Sisay, Weatherlight Captain",Modern Horizons,commander,1,2.53,2.49,1.9
Clever Impersonator,The List Reprints,commander,3,2.53,4.99,2.44
Curse of Opulence,The List Reprints,commander,1,2.55,4.49,3.19
Necrodominance,Modern Horizons 3,commander,4,2.55,4.99,1.8
"Magda, Brazen Outlaw",Kaldheim,commander,4,2.57,3.49,2.7
Famished Worldsire,Edge of Eternities,commander,1,2.6,4.49,2.08
Dizzy Spell,Ravnica: City of Guilds,commander,2,2.63,2.49,1.21
"Aminatou, the Fateshifter",Double Masters 2022,commander,1,2.64,3.99,2.88
Waste Land,Mystery Booster: Convention Edition Exclusives,commander,1,2.64,3.49,4.83
Ainok Strike Leader,Commander: Tarkir: Dragonstorm,commander,1,2.64,4.49,2.22
Angel's Grace,Secrets of Strixhaven: Mystical Archive,commander,3,2.65,3.99,2.56
Baleful Mastery,Promo Pack: Strixhaven,commander,1,2.65,2.99,2.62
Elves of Deep Shadow,Ravnica: City of Guilds,commander,2,2.66,3.99,2.27
Vial Smasher the Fierce,Commander: Duskmourn: House of Horror,commander,1,2.71,2.79,1.35
Dark Petition,Magic Origins,commander,1,2.72,6.49,2.22
Necrotic Ooze,Scars of Mirrodin,commander,1,2.76,3.49,2.26
Strike It Rich,Modern Horizons 2,commander,1,2.77,2.79,2.49
"Lindblum, Industrial Regency",FINAL FANTASY,standard,6,2.81,3.99,2.08
Throat Slitter,The List Reprints,commander,1,2.81,2.99,2.28
Temporal Trespass,Universes Beyond: Assassin's Creed,commander,1,2.81,4.99,2.54
Gush,Duel Decks: Anthology,commander,1,2.87,7.49,2.96
Unmarked Grave,Modern Horizons 2,commander,1,2.89,3.99,2.58
Grafdigger's Cage,Dark Ascension,commander,4,2.89,4.49,1.96
Simian Spirit Guide,Masters 25,commander,14,2.89,4.49,3.21
Fell the Profane,Modern Horizons 3,commander,1,2.95,5.99,2.96
Memnite,Scars of Mirrodin,commander,3,2.98,2.79,1.01
Hazel's Brewmaster,Commander: Bloomburrow,commander,1,2.98,3.99,1.75
"Marvin, Murderous Mimic",Promo Pack: Duskmourn: House of Horror,commander,2,2.99,4.99,2.52
"Tayam, Luminous Enigma",Commander 2020,commander,1,3.01,9.49,2.37
Hope of Ghirapur,The List Reprints,commander,2,3.02,2.79,2.31
Elvish Spirit Guide,Dominaria Remastered,commander,6,3.04,2.49,2.61
Soulless Jailer,Phyrexia: All Will Be One,commander,1,3.06,2.29,1.12
Aven Interrupter,Outlaws of Thunder Junction,commander,7,3.06,4.49,2.64
Howlsquad Heavy,Aetherdrift,commander,1,3.07,4.49,1.45
Echocasting Symposium,Secrets of Strixhaven,standard,1,3.13,4.49,2.85
Dismember,New Phyrexia,commander,2,3.13,4.49,2.03
Deceit,Lorwyn Eclipsed,standard,12,3.14,8.49,2.59
"Teferi, Who Slows the Sunset",Innistrad: Midnight Hunt,commander,1,3.16,5.99,3.23
Avatar's Wrath,Avatar: The Last Airbender,standard,3,3.18,5.99,2.95
Felidar Guardian,Aether Revolt,commander,1,3.18,1.99,1.38
"Skrelv, Defector Mite",Promo Pack: Phyrexia: All Will Be One,commander,1,3.18,5.49,5.47
Harmonic Prodigy,Commander: Secrets of Strixhaven,commander,1,3.2,5.49,2.08
Brain Freeze,Secrets of Strixhaven: Mystical Archive,commander,9,3.24,4.99,2.8000000000000003
Peer into the Abyss,Core Set 2021,commander,2,3.25,3.99,2.81
Veil of Summer,Core Set 2020,commander,3,3.25,6.49,2.88
Vibrance,Lorwyn Eclipsed,standard,4,3.25,7.49,2.61
Mockingbird,Bloomburrow,commander,11,3.26,4.99,2.95
Snap,Dominaria Remastered,commander,3,3.29,4.49,3.06
Crop Rotation,Commander 2020,commander,5,3.3,3.49,3.23
Dark Ritual,Fourth Edition,commander,15,3.32,4.49,1.56
From the Ashes,Commander 2013,commander,1,3.33,2.79,1.55
Ba Sing Se,Avatar: The Last Airbender,standard,9,3.34,6.99,3.58
Doomsday,Commander: Marvel Super Heroes,commander,1,3.36,5.49,2.94
Legion Extruder,Outlaws of Thunder Junction: The Big Score,commander,1,3.37,4.99,2.89
Gemstone Mine,Dominaria Remastered,commander,4,3.43,4.99,2.6
Red Elemental Blast,Fourth Edition,commander,11,3.44,4.99,2.96
Aether Vial,Double Masters 2022,commander,1,3.45,3.49,3.25
"Yuriko, the Tiger's Shadow",Commander Masters,commander,1,3.45,3.99,3.16
Valley Floodcaller,Bloomburrow,commander,12,3.46,5.49,3.43
Collector Ouphe,Modern Horizons,commander,1,3.46,3.49,1.96
Witch Enchanter,Modern Horizons 3,commander,1,3.48,6.49,3.26
Obliterate,8th Edition,commander,1,3.51,3.99,2.96
Hidden Lair,Marvel Super Heroes,standard,5,3.52,5.49,3.46
Eldritch Evolution,Eldritch Moon,commander,2,3.52,5.99,3.11
Dryad Arbor,Commander: Duskmourn: House of Horror,commander,2,3.55,3.99,2.31
Basalt Monolith,Revised Edition,commander,2,3.58,5.99,2.78
Toxic Deluge,Commander: Marvel Super Heroes,commander,4,3.62,6.49,3.37
"Braids, Arisen Nightmare",Promo Pack: Dominaria United,commander,1,3.64,5.49,4.2700000000000005
Swift Reconfiguration,Commander: Kamigawa: Neon Dynasty,commander,2,3.65,5.49,4.16
Get Lost,The Lost Caverns of Ixalan,standard,2,3.66,5.49,3.06
Needleverge Pathway,Zendikar Rising,commander,1,3.69,4.99,4.04
Kessig Flamebreather,Innistrad: Crimson Vow,commander,1,3.71,5.49,3.53
Endurance,Commander: Lorwyn Eclipsed,commander,2,3.73,6.99,3.61
Flashback,Secrets of Strixhaven,standard,4,3.73,6.99,3.12
Voltaic Key,Magic 2011 (M11),commander,1,3.73,5.99,2.6
Rejuvenating Springs,Commander: Marvel Super Heroes,commander,1,3.74,6.49,3.75
Flare of Denial,Modern Horizons 3,commander,1,3.77,5.49,3.01
Thran Dynamo,Commander 2014,commander,1,3.79,6.49,4.11
Submerge,The List Reprints,commander,1,3.79,4.99,3.13
Mutavault,Commander Legends: Battle for Baldur's Gate,commander,1,3.8,6.99,4.05
"Glarb, Calamity's Augur",Bloomburrow,commander,1,3.81,3.49,3.31
"Tivit, Seller of Secrets",Commander: Streets of New Capenna,commander,2,3.82,6.99,2.69
Season of Weaving,Promo Pack: Bloomburrow,standard,1,3.85,7.99,6.03
Emergence Zone,War of the Spark,commander,8,3.85,5.99,3.5
Carrion Feeder,Modern Horizons,commander,1,3.87,4.99,3.01
Ghost Vacuum,Promo Pack: Duskmourn: House of Horror,standard,12,3.88,5.99,5.67
Clock of Omens,Magic 2013 (M13),commander,1,3.92,5.99,3.01
Dwarven Armorer,Fallen Empires,commander,1,3.96,5.99,1.95
Borne Upon a Wind,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,12,3.98,4.99,3.8
Gitaxian Probe,New Phyrexia,commander,6,3.99,4.99,3.34
Liquimetal Torque,Modern Horizons 2,commander,1,4.01,4.49,3.12
Bottle-Cap Blast,Universes Beyond: Fallout,commander,1,4.03,5.99,2.33
Stormchaser's Talent,Bloomburrow,standard,4,4.04,8.99,3.86
Enduring Innocence,Duskmourn: House of Horror,standard,4,4.05,6.99,3.87
Fiery Islet,Universes Beyond: Doctor Who,commander,1,4.08,5.49,3.82
Magus of the Moon,Time Spiral: Remastered,commander,1,4.13,4.49,3.9
Dauthi Voidwalker,Modern Horizons 2,commander,2,4.16,6.49,3.9
Hickory Woodlot,Mercadian Masques,commander,1,4.16,4.49,3.01
Hydroblast,Ice Age,commander,1,4.16,6.99,2.66
Spelunking,The Lost Caverns of Ixalan,commander,1,4.22,3.99,3.21
Blind Obedience,Gatecrash,commander,1,4.28,6.99,3.44
"Winota, Joiner of Forces",Ikoria: Lair of Behemoths,commander,1,4.29,4.99,4.09
The Darkness Crystal,FINAL FANTASY,commander,1,4.35,5.99,4.0600000000000005
Cosmogrand Zenith,Promo Pack: Edge of Eternities,standard,2,4.41,8.49,6.08
M.O.D.O.K.,Marvel Super Heroes,standard,1,4.42,6.99,4.15
High Noon,Promo Pack: Outlaws of Thunder Junction,standard,6,4.43,9.99,5.0600000000000005
Phantasmal Image,Magic 2012 (M12),commander,1,4.43,6.99,4.15
"Beza, the Bounding Spring",Bloomburrow,standard,2,4.44,5.49,4.15
Temporal Mastery,The List Reprints,commander,1,4.46,5.49,3.59
Nature's Rhythm,Promo Pack: Tarkir: Dragonstorm,commander,7,4.49,6.99,4.58
Banishing Knack,Eventide,commander,1,4.52,1.49,1.04
"Karn, the Great Creator",War of the Spark,commander,1,4.56,5.99,3.93
Manamorphose,Double Masters,commander,1,4.56,5.99,4.84
Windfall,Iconic Masters,commander,2,4.71,7.99,4.42
Root Maze,10th Edition,commander,1,4.71,7.49,4.37
Beseech the Queen,The List Reprints,commander,1,4.72,4.99,4.01
Professor Dellian Fel,Secrets of Strixhaven,standard,3,4.73,6.99,3.86
Abandoned Air Temple,Avatar: The Last Airbender,standard,7,4.73,9.99,4.89
High Fae Trickster,Foundations,commander,6,4.73,8.99,4.16
"Nicol Bolas, Dragon-God",Ravnica Remastered,commander,1,4.75,5.49,4.14
Shifting Woodland,Modern Horizons 3,commander,4,4.78,7.49,2.86
Six,Promo Pack: Secrets of Strixhaven,commander,1,4.81,7.99,5.4
Springheart Nantuko,Modern Horizons 3,commander,2,4.81,6.99,4.14
Ancient Cornucopia,Outlaws of Thunder Junction: The Big Score,standard,4,4.81,8.99,4.69
Summoner's Pact,Masters 25,commander,1,4.81,5.49,3.02
Gavony Township,Innistrad,commander,1,4.84,7.99,4.11
Pyretic Ritual,Magic 2011 (M11),commander,2,4.85,8.49,4.08
Torpor Orb,Outlaws of Thunder Junction: The Big Score,commander,4,4.87,7.99,3.51
Horizon of Progress,Commander: Modern Horizons 3,commander,1,4.88,4.99,4.39
"Kediss, Emberclaw Familiar",Commander Legends,commander,1,4.94,8.99,5.13
Animate Dead,Commander: Secrets of Strixhaven,commander,1,4.96,7.49,5.0
Spirebluff Canal,Kaladesh,standard,20,4.96,9.99,3.58
Gifts Ungiven,Modern Masters 2017,commander,4,4.98,5.49,4.53
Orim's Chant,Modern Horizons 3,commander,3,5.01,8.99,4.86
Blade Historian,Promo Pack: Strixhaven,commander,1,5.03,9.49,5.43
Ephemerate,Modern Horizons,commander,1,5.05,5.99,5.19
"Phelia, Exuberant Shepherd",Modern Horizons 3,commander,1,5.05,8.49,3.64
Saw in Half,Unfinity,commander,1,5.13,7.49,4.78
"Eiganjo, Seat of the Empire",Kamigawa: Neon Dynasty,commander,1,5.13,9.99,5.19
Gut Shot,Modern Masters 2015,commander,3,5.14,7.99,4.15
Blightstep Pathway,Kaldheim,commander,1,5.22,7.99,5.73
Last Chance,Starter 1999,commander,3,5.26,14.99,8.75
Slickshot Show-Off,Promo Pack: Outlaws of Thunder Junction,standard,4,5.27,8.99,5.76
Crystal Vein,Classic Sixth Edition,commander,3,5.29,8.99,4.04
Sylvan Safekeeper,Modern Horizons 3,commander,2,5.29,7.99,4.88
"Niv-Mizzet, Parun",Guilds of Ravnica,commander,1,5.31,6.49,5.0600000000000005
Professor Onyx,Promo Pack: Strixhaven,commander,2,5.38,8.49,5.21
Sudden Substitution,Commander 2019,commander,1,5.42,6.99,4.57
Counterbalance,The List Reprints,commander,3,5.43,4.49,4.09
Three Steps Ahead,Outlaws of Thunder Junction,standard,10,5.46,8.99,4.16
Professional Face-Breaker,Streets of New Capenna,commander,6,5.51,7.99,5.72
Hoarding Broodlord,March of the Machine,commander,1,5.54,7.49,4.5200000000000005
Hullbreaker Horror,Commander Legends: Battle for Baldur's Gate,commander,2,5.61,8.49,5.86
Sink into Stupor,Modern Horizons 3,commander,5,5.63,10.99,5.87
Ethersworn Canonist,Shards of Alara,commander,2,5.66,5.99,4.11
Lotus Cobra,Foundations Jumpstart,commander,1,5.67,6.99,4.5
Blossoming Tortoise,Wilds of Eldraine,commander,1,5.67,6.99,5.19
Gleeful Arsonist,Commander: Duskmourn: House of Horror,commander,1,5.7,7.49,4.48
Erode,Secrets of Strixhaven,standard,15,5.71,9.49,3.9
Desperate Ritual,Champions of Kamigawa,commander,3,5.72,7.99,4.18
Fleshwrither,Future Sight,commander,1,5.85,4.99,1.56
"Boromir, Warden of the Tower",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,1,5.85,7.99,5.21
Rite of Flame,Coldsnap,commander,12,5.94,7.99,5.47
Chord of Calling,Double Masters,commander,6,5.95,7.99,5.98
Omniscience,Foundations,standard,4,5.96,8.49,5.34
Whir of Invention,Aether Revolt,commander,1,6.0,8.49,5.05
Dwarven Bloodboiler,Judgment,commander,1,6.01,9.99,5.73
Elvish Reclaimer,Core Set 2020,commander,1,6.02,5.99,4.66
"Teferi, Time Raveler",War of the Spark,commander,2,6.03,7.99,6.1000000000000005
Emeritus of Ideation,Secrets of Strixhaven,standard,12,6.13,8.49,5.72
Pest Control,Outlaws of Thunder Junction: The Big Score,standard,1,6.19,7.99,5.73
Lazotep Quarry,Commander: Modern Horizons 3,commander,1,6.22,7.99,5.19
Snuff Out,Universes Beyond: Doctor Who,commander,3,6.34,8.49,6.44
Jeskai Revelation,Tarkir: Dragonstorm,standard,16,6.36,8.99,4.34
Spectator Seating,Commander: Marvel Super Heroes,commander,1,6.41,8.99,6.63
Enduring Curiosity,Promo Pack: Duskmourn: House of Horror,standard,3,6.45,8.99,6.87
Pollywog Prodigy,Commander: Bloomburrow,commander,1,6.47,10.99,6.03
Urza's Bauble,Fifth Edition,commander,1,6.49,9.49,7.05
Defense Grid,8th Edition,commander,4,6.54,9.99,6.19
Imp's Mischief,Commander Masters,commander,1,6.54,9.49,7.0600000000000005
Twincast,Magic 2010 (M10),commander,1,6.55,9.49,5.61
Rain of Filth,The List Reprints,commander,5,6.7,9.49,4.86
Hushwood Verge,Promo Pack: Duskmourn: House of Horror,standard,12,6.72,13.99,7.01
Hallowed Fountain,Lorwyn Eclipsed,commander,19,6.77,10.99,6.890000000000001
Multiversal Passage,Marvel's Spider-Man,standard,22,6.77,10.99,5.71
Willowrush Verge,Aetherdrift,commander,3,6.78,9.99,5.8
Imposter Mech,Commander: Kamigawa: Neon Dynasty,commander,1,6.86,11.99,5.94
Cool but Rude,Teenage Mutant Ninja Turtles,commander,6,6.86,12.99,7.17
Blood Moon,9th Edition,commander,1,6.91,11.99,7.04
Wistfulness,Lorwyn Eclipsed,standard,6,6.92,15.99,8.06
Noxious Revival,New Phyrexia,commander,2,6.93,10.99,5.72
Archivist of Oghma,Commander Legends: Battle for Baldur's Gate,commander,2,6.93,9.49,6.16
Stomping Ground,Ravnica Allegiance,standard,1,7.02,10.99,6.25
Flusterstorm,Buy-A-Box Promos,commander,17,7.03,7.99,6.24
Virtue of Persistence,Promo Pack: Wilds of Eldraine,standard,2,7.03,8.99,6.8100000000000005
Force of Despair,Secret Lair Showdown,commander,1,7.08,6.99,7.07
Deathrite Shaman,Return to Ravnica,commander,5,7.09,8.49,6.25
Time Sieve,Alara Reborn,commander,2,7.17,11.99,8.08
Kederekt Parasite,Conflux,commander,1,7.2,10.99,4.16
Silence,Magic 2011 (M11),commander,10,7.23,11.99,7.28
Stranglehold,Commander,commander,1,7.24,9.99,8.32
"Tevesh Szat, Doom of Fools",Commander Legends,commander,1,7.28,7.99,7.29
Dawn's Truce,Promo Pack: Bloomburrow,standard,3,7.32,12.99,8.58
Sacrifice,Revised Edition,commander,2,7.35,5.49,3.95
"Nezahal, Primal Tide",Commander Legends,commander,1,7.42,11.99,7.24
Walking Ballista,Commander: FINAL FANTASY,commander,3,7.45,8.99,7.17
Temple Garden,Guilds of Ravnica,standard,12,7.46,9.99,7.55
Command Beacon,Commander Legends,commander,3,7.47,11.99,7.45
Floodfarm Verge,Duskmourn: House of Horror,standard,9,7.49,11.99,7.83
Mount Doom,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,3,7.5,9.49,7.42
Formidable Speaker,Lorwyn Eclipsed,commander,11,7.5,10.99,7.16
Xorn,Adventures in the Forgotten Realms,commander,1,7.51,10.99,7.28
Arena of Glory,Modern Horizons 3,commander,2,7.52,11.99,6.6000000000000005
Culling the Weak,Exodus,commander,11,7.55,11.99,5.72
"Sidisi, Undead Vizier",Dragons of Tarkir,commander,1,7.59,9.49,5.8
Castle Garenbrig,Throne of Eldraine,commander,1,7.62,12.99,7.29
